Type,Value,Description
sha256,44f053bcbed3615a90a4ef61383225204e0f986333baa404547b35436cbc25f3,Ransomware
sha256,09a0e87008e34a7a434c5d853600f693ab9de181e1f863ef6a90edf8c3fccd54,Ransomware
sha256,23e95ba67603234352ff2864dc7fa54742f501e5922f01f8c182dbefc116f97f,Ransomware
sha256,307a8158e698680c7186e3c1481b29186d8b265bb83662397a54f235b0c9a3d1,Ransomware
sha256,473bcbcba12296b08b765b4f7c2beea5f56f263d5e6c0d15c1006af28f6172e8,Ransomware
sha256,60c16e45c5cbe88a38911f1e3176d90444e4884261d8481d4d719acec1bc5025,Ransomware
sha256,63b44f7fe68cb8a05fa98c5acc59851d4b73f5bbd76e9910c94042c523da8d5b,Ransomware
sha256,703ee3222eccd0e355b9ef414be9153fa3a2ad8efb8176fee887d7744a9f632f,Ransomware
sha256,8f368b029a3a5517cb133529274834585d087a2d3a5875d03ea38e5774019c8a,Ransomware
sha256,b42d07f0b72879bf21e99f39a21edae1a38c3fd62393bd4e88f1032f561855f9,Ransomware
sha256,d6b7b27e13700aaa7f108bf9e76473717a7a1665198e9aafcc2d2227ca11bba9,Ransomware
sha256,d8a0d25776c28e17e724da2b1c8fdae28d7c6b32cfa9d3d2a20f3f57ff370488,Ransomware
sha256,7eafb957c2e715e06489a979a185f75d7a9d502223c8aba36e7b6b8ead7d03b2,Ransomware
sha256,156335b95ba216456f1ac0894b7b9d6ad95404ac7df447940f21646ca0090673,Ransomware
sha256,3ba456cafcb31e0710626170c3565aae305bc7c32a948a54f0331d0939e0fe8a,Ransomware
sha256,f6fba207c71d1f53f82d96a87c25c4fa3c020dca58d9b8a266137f33597a0b0e,Ransomware
domain,mwieurgbd114kjuvtg.com,Ransomware
domain,baroquetees.com,Ransomware
domain,dark24zz36xm4y2phwe7yvnkkkkhxionhfrwp67awpb3r3bdcneivoqd.onion,Ransomware
domain,rumahsia.com,Ransomware
domain,edu.libg.ml,Ransomware
Ipaddress,176.103.62.217,Ransomware
Ipaddress,208.113.35.58,Ransomware
Ipaddress,68.235.178.32,Ransomware
Ipaddress,98.176.196.89,Ransomware

